review,sentiment
"I can't believe I sat through this garbage. Palm trees in D.C. (already mentioned), a dummy-as-dead-body bit so obviously artificial that I thought it was SUPPOSED to be a dummy ... until it left a bloodstain ... stilted dialogue, ridiculous plot. I think it's a shame that Jill Ireland's final film before her death was this stinker. Don't waste your time - I wish I hadn't. The only saving grace is that it was on cable, so I didn't waste my money on top of everything.",negative
"This film (along with Rinne) are minor gems amongst the retread homage pics that have passed for horror movies so far at the 8FTDF ""HorrorFest."" And, yes, that's faint praise indeed. 'Cause there's not much worse in filmdom than would-be auteurs who think atmosphere is a substitute for a coherent plot.<br /><br />And that's all you get with The Abandoned. This is a film that was made almost entirely in the directors head. Sure, it would have been nice if he'd transfered it to film, but this happened instead. It's a very pretty film with a few genuine scares, but the last reel is strictly for the latte slurping cineaste crowd.",negative
"Lesbian vampire film about a couple on holiday who are staying on the grounds of what they think is an empty manor house but is really being used as a pair of lesbian vampires. As the vampires bring in the occasional victim the couple go about their business until the two groups come crashing together.<br /><br />Great looking film with two very sexy women as the vampires there is nothing beyond the eye candy that they provide to recommend this cult film. Yes its a sexy vampire story. No it is not remotely interesting beyond the women. To be honest there is a reason that I've been seeing stills of this film in horror books and magazines it looks great, but other than that...<br /><br />For those who want to see sexy vampires only.",negative
I cannot get over how awful this movie was. My eyes want to jump out of my head and my ears are gushing blood from the horrible awful one song soundtrack. There are four kids and dog and they run away from a hospital then get away with stealing two cars and a bus. No one gives them any punishment or anything to correct them. The acting is just so awful it sounds like an instruction video for social studies class. I cannot think of one thing that I like about this movie. Nothing. Even the kid that loses his dog made me want to vomit. He gets his dog back without the lady even seeing the dog run out the door. Maybe the dog was trying to escape out of this movie. Then there is some horse manure in the whole mix. It was torture watching this movie. Then at the end the oldest boy says something like staying together isn't a crime and they all hug him and love him. Stealing gas is a crime. Stealing two cars and a bus is a crime and he should have went to juvenile hall or something. Avoid this movie at all costs and especially if you want to keep your family together.,negative
"I am really surprised that this film only has a rating of 6.4 as of the time I did this review. While not exactly a great film, I do think it's one of the best films Dietrich did and it's a shame it isn't more highly regarded. I think a lot of the reason I liked the film so much is that the usual silly Dietrich persona as the ""über-vamp"" isn't present and her role required her to actually act. I just hate seeing film after film after film in the early days of her career where she seemed more like a caricature or cliché than a real woman. I don't necessarily blame Dietrich for the silly vampish films she made in the 1930s--audiences loved them and they did make her famous. But here, she showed she really could act. After all, just looking at her in films like MOROCCO, BLONDE VENUS and THE BLUE ANGEL, who would have guessed that she was well-cast to play a Gypsy! I was quite prepared to hate the film because of this casting decision, but it worked--she was pretty believable and a lot of fun to watch as well! The film is, essentially, a vehicle just for Ray Milland and Marlene Dietrich--the other supporting characters are very much secondary to the movie. Milland is a wanted spy in pre-WWII Germany and in his efforts to escape, he stumbles upon a rather frisky lone Gypsy (Dietrich) who instantly takes him to be a fulfillment of prophecy--in other words, her new lover! Milland is quite stuffy but reluctantly agrees to travel in her wagon--even putting on body paint and piercing his ears to make him look like a Gypsy (hence the title to the movie). Over time, he slowly starts to realize that underneath her very uncouth exterior is quite a woman and romance slowly blossoms.<br /><br />The film in a word is ""charming"". A nice romance with a good dose of comedy and fun--just the sort of picture you wish Hollywood still made. Also, please note the performance of Murvyn Vye as ""Zoltan"". He was very magnetic in the short time he was on film and I just loved his deep and beautiful voice.<br /><br />Finally, a sad note to consider. While the film is set in Germany, no mention is made of the upcoming Gypsy Holocaust. During the war, throughout German territory, the Nazis exterminated a huge percentage of Gypsies and so the final nice ending to the film is a tad far-fetched.",positive
"Relesed from Troma (which is my favorite movie company)Unspeaksble is a messy horror film that can be interesting but very dark and twisted.<br /><br />Unspeakable starts with a family in a car, they get into an accident which leaves a daughter dead and a mother deformed. the father eventually goes crazy and slashes prostitutes. He sees his daughter in other people. He kills for her. Meanwhile his now deformed wife is being raped by her orderly. These are sick people! <br /><br />Unspeakable tries to be sick and disturbing and it does manage to do that as a good horror flick this is not. Most Troma movies have a sense of humor to them but however this one doesn't.",negative
"I first saw this film as a teenager (I'm now in my 40's), and have long considered it to be my favorite movie. The story is enormously moving, without being sentimental. The acting, especially by March and Loy, is dead-on. And the fact that Dana Andrews is too old for his role doesn't take away from the believability of his romance with Theresa Wright (whom I believe is the only major character in the film still living). This could have turned out to be another post-war melodrama, but the script and cast are simply too good for that to happen.",positive
"Musings: Pure delight from beginning to end. Not a laugh riot, but a more subtle, sophisticated humor. What a goldmine of great scenes and character actors, including Reginald Denny, Nestor Paiva, Ian Wolfe, Harry Shannon and Jason Robards Sr.. <br /><br />Cary Grant is at the building sight of his new home, which is at that point, being framed. A young carpenter, played by future Tarzan Lex Barker, asks him if he wants his ""lallies to be rabbeted"", or some such thing that only a carpenter would know. Grant, not wanting to appear ignorant, replies in the affirmative. At that, Barker yells up to his mates, ""OK boys, he wants 'em rabbeted, so....YANK 'EM OUT!"" A second later you hear the ripping and tearing sounds of about 20 big nails being pulled out of various boards. All Grant can do is moan.<br /><br />Yes, the movie IS dated. You'd never see that many carpenters working at once on a single family home, and a place like that, in Connecticut of all places, would probably run a few million bucks.<br /><br />A classic movie that is really a treasure.",positive
"Though I saw this movie about 4 years ago long before I started commenting on IMDb, I decided to review it now which is unusual for me since before now I often reviewed something just after seeing it. What can I say? Well, the best performance is that of the late Peter Boyle as the title character who, after finding out about a man's killing the drug-dealing boyfriend of his daughter, wants to bond with him even though he's a Madison Avenue executive who has nothing in common with the very lower-class conservative Joe. In fact, there are plenty of funny scenes of Joe at this guy's party making smart alecky remarks there. Oh, and it should be noted that the actress that plays the daughter who they're looking for after she disappeared from the hospital after overdosing on some drugs is none other than Susan Sarandon making her film debut! This was a pretty hard-hitting movie for the time it was made (late '60s-early '70s) and was compelling work from scripter Norman Wexler (later of Saturday Night Fever) and director John G. Avildsen (later to do Save the Tiger, Rocky, and The Karate Kid). Certainly the ending packs a wallop even today after all these years! Highly recommended for anyone curious about the counterculture of that time. P.S. Among the cultural artifacts seen here are a Raggedy Ann doll, a box of Ritz crackers, a bottle of Heinz ketchup, and, unique for the era, a Nixon poster asking, ""Would you buy a used car from this man?""",positive
"I know it's not original, but what the hey? What else can be said about it? I feel unutterably silly just paying any attention at all to ""From Hell It Came"". The movie makes the important political and social issue of fallout from atmospheric atomic tests seem a matter for joking and dismissal, not the concern and alarm being raised by scientists all over the world at the time.",negative
"Aaliyah blows all the female cast members out of the water, including the official love interest Marguerite Moreau.<br /><br />I would have loved to see this movie play out as Akasha's power trip. Aaliyah is simply electrifying whenever she is on the screen. She does sensual, beautiful and menacing to the power of 10. Watching her take on a bar full of vampires is a sight to behold.<br /><br />Lena Olin is cast in the ungrateful role of ""the older woman"", which is hugely unjustified. She looks fantastic and at 46 (according to the IMDb) still looks stunning.<br /><br />The story unfortunately is very limited plot wise, we've seen it all before, etc.<br /><br />The most heart wrenching is Akasha's death scene, especially keeping in mind what happened to Aaliyah after filming.<br /><br />All in all, a remarkable vampire movie.",positive
"This film is probably the worst film that I have ever seen. I'm studying french at college and thus understood all the dialog, so the language barrier wasn't an issue. I must say it is really hard to empathize with any of the characters depicted in the movie. There is only one professional actor in the cast and I'm guessing no professional directors or writers.<br /><br />Although I have rated it 1 out of 10 it probably doesn't merit such a poor rating. This is merely a futile effort of lowering its current overall rating of 7.3 to something more realistic. Perhaps 4.3 would be a more accurate rating because the film is a true non-event 100 minutes or so in length that you will never get back.<br /><br />The real shame is that I am sure some college student is busting his nut making a film twice as good and half the length. However if you want to join the bandwagon which seems to be rolling around IMDb you might as well go ahead give ""Lost in Translation"" a 10 as well.",negative
"These are the kinds of movies I loved, and still love growing up. Unlike big budget movies that crate huge plot holes and never acknowledge them. This movie takes in all in stride and just makes something you can sit back and enjoy.<br /><br />There was some film student earlier that complained it wasn't A list material. But that is not the point. The point of this movie is that no everyone likes huge CGI Cliché' filled movies. There are a lot of people who like movies that are meant to just entertain you, and not get as much money as they can.<br /><br />Besides, its also nice to know that good ol' Bruce isn't dead yet.",positive
"Anyone who has ever doubted Ingrid Bergman's ability to play comedy need only look to ""The Bells of St. Mary's"". OK, so she's a nun with TB who's probably in love with Fr. O'Malley, (think what Luis Bunuel could have done with that), but she also displayed a wonderfully sly sense of fun that made you wish directors had cast her in comedies more often. In ""Cactus Flower"" she's a starched dentist's nurse, (Walter Matthau is the dentist), in love with her boss but keeping it buttoned up. When she's forced to act as his 'wife' in order to hoodwink his mistress, (don't ask), she lets loose and the buttons pop. And she's a joy to behold.<br /><br />The movie itself is a hardier than usual translation to the screen of a Broadway hit, (you can see it's three acts). It's a French Farce, (it was originally; it's taken from the play 'Fleur de Cactas' by Pierre Barillet and Jean-Pierre Gredy), and it hits all the right spots. Matthau uses his great hang-jowl expression to wonderful effect and a klutzy blonde newcomer, as she was then, called Goldie Hawn almost steals the film as the dizzy mistress who decides to give up her meal ticket because she feels sorry for 'the wife' even though 'the wife' is having a ball. Hawn made such an impression in the role that what she did steal was the Academy Award for Best Supporting Actress.",positive
"LL Cool J. Morgan Freeman. Dylan McDermott. Kevin Spacey. John Heard. Cary Elwes. Roslyn Sanchez. Justin Timberlake -- wait a minute. Justin Timberlake? And he's the star? I should have known better than to rent EDISON FORCE. In fact, I did know better. But in a moment of absolute weakness, I rented this STV. When you have big names like Freeman and Spacey in an STV, you know it's one of two things: an indie or a dog. As in sat-on-a-shelf. Which this did. And with good reason. The plot as such involves a squad of corrupt killer cops a la MAGNUM FORCE, and ""journalist"" Timberlake is the only one brave enough to uncover them. He is targeted for his efforts -- or maybe I should say for his horrible acting. I turned it off after one of the bad guys was shot through the forehead and still had the forethought to turn to his shooter and smile before collapsing. Just awful. The real tipoff to how bad this flick is to see Freeman on the cover and throughout the movie sporting an unruly beard, looking like nothing so much as a hobo. You just know the director was not in control. Freeman is clearly slumming.",negative
"This movie is so bad, it's comical. In fact, Mystery Science Theatre 3000, the television show in which three characters watch and parody bad movies, used this very film to mock. I suggest watching it (maybe on YouTube) instead of actually seeing this movie.<br /><br />Please, do not see Hobgoblins if you're not prepared to stop within the first scene. Actually, do not see this movie, period. Please. At least not seriously. Its jokes are not funny (to say the least), and you'll have much more fun parodying or watching a parody of it then viewing the movie.<br /><br />You may feel yourself becoming sick upon watching, so spare yourself. Read a book. Do the laundry. Anything is more fun than watching Hobgoblins.",negative
"Violent sequel to RoboCop was directed by Irvin Kershner (Never Say Never Again, The Empire Strikes Back) will never be as good as the original, because it is almost humorless, and it is extremely mean, and should have been rated NC-17, because of scenes with infants being involved in gunfights, people threatening to brutally murder very young infants with REAL automatic weapons, and even scenes with a 12 year old using lots of explicit profanity, giving drugs to lots of random people, shooting and graphically shooting up and killing policemen and SWAT officers, opening fire on police officers when lots of small and young children are present, and a whole group of children using strong profanity and beating up the store owner (who is a very old man) of an electronics store and stealing and destroying lots of items there. This film gives new meaning to the term ""appallingly mean"", but the effects and action sequences are exceptionally incredible. Overall, an OK movie.",negative
"Well, first of all - i am a big fanatic of horror movies, but however - I am pretty sick of all those damn American horror movies. They are all about the same thing - blood and violence. It's not even creepy. Well, it's nothin wrong with the blood and all that - doesn't even bother me - but that's not what makes a movie creepy! That's why I find this movie entertaining - it's fun to see a satire which is making fun of the koncept ""main horror USA"". American splatter/gore-movies, they are not suppose to be creepy, only funny. That's OK. But when they're suppose to be ""creepy"", it mostly gets pathetic. However, there are a few great american horror movies (Poltergeist, Psycho, Birds), but in the end it's all the same thing. That's why this movie came as a relief. Evil Ed is not just a cult movie - it's a classic! I can't wait untill master director Anders Jacobsson makes another goddamn splatter movie! Untill than I have to watch Evil Ed again - and again - and again! But I don't care - it is such an outstanding movie!",positive
"Wes Craven, you are having a laugh... at our expense. The Red Eye plot is preposterous... We are confronted by a guy who has apparently spent 8 weeks watching a girl, who then turns up at an airport behind her, flirts and chats her up successfully, somehow wangles a seat next to her in a two seat space, not trapped in the middle of a five seat row (contacts at check-in?) and is cheezily nice during a painfully slooooow build up. Then, once up in the air, in a confined space, surrounded by strangers, he immediately starts threatening the vacuous, if super-efficient, Rachel McAdams and saying tosh like 'we got ya daddy, do what I say, or poppa gets it'. Well, forgive me, but didn't they already have her daddy ready for slaughter-so-you-better-oughta long before she stepped on the plane and therefore wouldn't it have been oh, sooooooo much simpler to simply snatch the gal off the street and terrorise her in a room somewhere, forgetting the complicated and insecure dad plot, pulling her nails out or whatever until she made the all important 'call' required? Or even - cos this is the movies and we need a few unreal twists - keep the dumb dad-in-distress thing intact if you must, but dress it up better so that holding him in harms way until the convoluted plot had been concluded made some sense, without the plane dumbdown? Alternatively, without wanting to sound like an actual thinking terrorist/assassin - couldn't the massive bazooka-missile thang employed have been far more easily used on, say, a car driving down the highway, with the politician inside, rather than the 50th story of a Miami seafront hotel, from a fishing boat (mind you, as we already know, security in Miami is lax, so they'll speed away)? I know, I know, far more fun to go through watching a pretty girl for 8 weeks, burgle her dads house to steal his wallet (that somehow - star trek style - gets transported from Miami to Texas instantly) in order to - perhaps - get her to arrange for a politician to change hotel room and, and, and... Well, a thousand things could go wrong here, each one entirely destroying the Big Plan, so why not slim the elements down to a sensible handful, such as - 1. bazooka. 2. car. 3. boom! My 50 minute drive home from the cinema was spent highlighting the abundance of flaws and stupid cod-Hitchcockian twists, which sadly was the best fun of the whole sorry experience. And as for security back at Miami Airport... we have an apparently crazy and violent girl running off a plane, chased by cops, who during the chase sits down to have a coffee, moves elsewhere to read a magazine at a bar, then runs again like crazy up and down the whole terminal... by now also chased by crazed Cillian Murphy (no CCTV then? - I had guns pulled on me for parking in the wrong place for 10 seconds at Miami Airport a couple of years back). So instead of speaking to the cops - her allies - or getting on the blower at a call-box direct to her dad to warn him his life is in danger, McAdams prefers instead to steal a People Carrier off a family in the Airport forecourt (call the damned security...) and drives home to daddy, mowing down the assassin with the vehicle in the front garden of the house, in a rich neighbourhood-watch district, crushing the front porch in the process - an act which actually slightly wakes dad up from an afternoon snooze, after about a minute, yet which somehow fails to register with neighbours who aren't even mildly curious, thus ensuring 15 more minutes of hide and seek shenanigans as the duo run around the vast Hollodeck type house... Dohhh, it actually hurts to keep thinking about it all - Cillian (surely renamed Silly 'un for doing this one?) preposterously turns from ice assassin to comically unhinged (and inept) lunatic killer at the end, this theoretically ruthless despatcher of human life now allowing the dad to live so that he can watch his daughter getting her goose cooked. I'd better stop, because the stream of drivel I'm writing here must sound as uncoordinated as the Red Eye script. If Ms McAdams hadn't been allowed to get on the plane in the first place the title could have been altered, from 'Red Eye' to 'No Eye, Dear'. RR",negative
"Cassandra Peterson originally created Elvira as the television hostess of late-night horror films, and when the character proved unexpectedly popular she suddenly found herself doing everything from beer commercials to spots on The Tonight Show with Johnny Carson. She reached the peak of her popularity in the late 1980s, and the film ELVIRA, MISTRESS OF THE DARK was the result.<br /><br />The plot is flyweight. Television horror film hostess Elvira dreams of success in Las Vegas. When her great aunt dies, she travels to New England in hopes that the estate will provide enough money to back a stage show; she is disappointed to find she has inherited a rundown house, a poodle, and an old book. It happens that the town is puritanical beyond all description, and she provokes righteous indignation everywhere she goes. It also happens that her great uncle is secretly an evil warlock and very intent on laying hands on ""the old book."" Throw in a few teenagers, a stud muffin, and a hateful woman with falsies and there you go.<br /><br />No one would accuse it of being a cinematic masterpiece, and it does drag now and then. But Cassandra Peterson demonstrates tremendous flair from start to finish: squirmy, sexy, and mixing lowbrow humor with flashes of sharp comedy, she dances through the film like a ringmaster in a circus of corny and often self-mocking jokes. From a FLASHDANCE disaster to witchcraft craziness, she is never less than wildly entertaining. It's a tremendous amount of fun, and the film's conclusion even manages to generate considerable suspense. Will Elvira best her evil uncle and save the day? Well, I don't want to give anything away, so let's just say you'll have a lot of fun finding out.<br /><br />DVD quality is okay and there's little in the way of bonus material, but if you're in the mood for something silly this one is sure to answer the urge. And if you've never seen tassle-twirling, you're in for a treat. Recommended.<br /><br />GFT, Amazon Reviewer",positive
"I was required to watch the movie for my work, so I didn't pay for it (on the contrary, i got paid), but I still found the movie to suck far more than average. The jokes were lame, the two lead actresses... well, to use the ""First wives club"" division of women's ages in Hollywood, they are no longer in their ""hot chick"" age but more in their ""district attorney"" age. What angered me most about the movie was the main plot line, which pretty much completely plagiarized ""Beavis & Butthead Do America"" (in which the boys are all jazzed up about some dude offering them money to ""do his wife"", not realizing they're expected to assassinate her). All in all, a bland piece of crap.",negative
The reason I think this movie is fabulous is that it has so many layers of emotion. From the script and the fabulous acting you can tell that there is a history behind all of the feelings that there are. You understand why the characters take certain actions and why the do not make others. You can feel sympathy and joy and love and sorrow for them all at once. You see humanity at its best AND at it's worst. You can relate to the characters because although you may have never been in their exact situations before you see qualities and downfalls in them that you see in yourself. To a certain extent this movie kind of keeps you wondering but then at the end it explains itself and you feel a certain peace and understanding not only in you but for the characters. I will say that I have have never EVER cried so much in my life nor have gotten so much out of something. I implore you to watch this movie and take it's meaning to heart. That there is only one true thing and that is... love.,positive
