Line,Speaker,Text,Date,Party,Location,URL
66,Clinton,"And I appreciate greatly Senator Sanders' voting record. And I was very proud to get the endorsement of the Planned Parenthood Action Fund, because I've been a leader on these issues. I have gone time and time again to take on the vested interests who would keep women's health care decisions the province of the government instead of women ourselves. I'm very proud that NARAL endorsed me because when it comes to it we need a leader on women's issues. Somebody who, yes, votes right, but much more than that, leads the efforts to protect the hard-fought gains that women have made, that, make no mistake about it, are under tremendous attack, not just by the Republican presidential candidates but by a whole national effort to try to set back women's rights. So I'm asking women, I'm asking men, to support me because I'm ready to go into the White House on January 20th, 2017 and get to work on both domestic and foreign policy challenges.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
76,Clinton,"You know, I completely agree with Senator Sanders. The first speech I gave in this campaign back in April was about criminal justice reform and ending the era of mass incarceration. The statistics from Wisconsin are particularly troubling, because it is the highest rate of incarceration for African-Americans in our nation, twice the national average. And we know of the tragic, terrible event that lead to the death of Dontre Hamilton right here in Milwaukee, a young man unarmed, who should still be with us. His family certainly believes that. And so do I. So we have work to do. There have been some good recommendations about what needs to happen. President Obama's policing commission came out with some. I have fully endorsed those. But we have to restore policing that will actually protect the communities that police officers are sworn to protect. And, then we have to go after sentencing, and that's one of the problems here in Wisconsin because so much of what happened in the criminal justice system doesn't happen at the federal level, it happens at the state and local level. But, I would also add this. There are other racial discrepancies. Really systemic racism in this state, as in others, education, in employment, in the kinds of factors that too often lead from a position where young people, particularly young men, are pushed out of school early, are denied employment opportunities. So, when we talk about criminal justice reform, and ending the era of mass incarceration, we also have to talk about jobs, education, housing, and other ways of helping communities.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
83,Clinton,"Well, I'm just not sure I agree completely with that assessment. I think under President Obama we have seen a lot of advances, the Affordable Care Act has helped more African Americans than any other group to get insurance, to be taken care of, but we also know a lot more than we did. We have a lot more social media, we have everybody with a cellphone. So, we are seeing the dark side of the remaining systemic racism that we have to root out in our society. I think President Obama has set a great example. I think he has addressed a lot of these issues that have been quite difficult, but he has gone forward. Now, what we have to do is to build on an honest conversation about where we go next. We now have much more information about what must be done to fix our criminal justice system. We now have some good models about how better to provide employment, housing and education. I think what President Obama did was to exemplify the importance of this issue as our first African American president, and to address it both from the President's office, and through his advocacy, such as working with young men, and Mrs. Obama's work with young women. But, we can't rest. We have work to do, and we now know a lot more than we ever did before. So, it's going to be my responsibility to make sure we move forward to solve these problems that are now out in the open. Nobody can deny them. To use the Justice Department, as we just saw, they have said they are going to sue Ferguson, that entered into a consent agreement, and then tried to back out. So, we're going to enforce the law, we're going to change policing practices, we're going to change incarceration practices, but we're also going to emphasize education, jobs, and",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
96,Clinton,"Look, I am deeply concerned about what's happening in every community in America, and that includes white communities, where we are seeing an increase in alcoholism, addiction, earlier deaths. People with a high school education or less are not even living as long as their parents lived. This is a remarkable and horrifying fact. And that's why I've come forward with, for example, a plan to revitalize coal country, the coalfield communities that have been so hard hit by the changing economy, by the reduction in the use of coal. You know, coal miners and their families who helped turn on the lights and power our factories for generations are now wondering, has our country forgotten us? Do people not care about all of our sacrifice? And I'm going to do everything I can to address distressed communities, whether they are communities of color, whether they are white communities, whether they are in any part of our country. I particularly appreciate the proposal that Congressman Jim Clyburn has -- the 10-20-30 proposal -- to try to spend more federal dollars in communities with persistent generational poverty. And you know what? If you look at the numbers, there are actually as many, if not more white communities that are truly being left behind and left out. So, yes, I do think it would be a terrible oversight not to try to address the very real problems that white Americans -- particularly those without a lot of education whose jobs have -- you know, no longer provided them or even no longer present in their communities, because we have to focus where the real hurt is. And that's why, as president, I will look at communities that need special help and try to deliver that.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
104,Clinton,"I strongly support the president's executive actions. I hope the Supreme Court upholds them. I think there is constitutional and legal authority for the president to have done what he did. I am against the raids. I'm against the kind of inhumane treatment that is now being visited upon families, waking them up in the middle of the night, rounding them up. We should be deporting criminals, not hardworking immigrant families who do the very best they can and often are keeping economies going in many places in our country. I'm a strong supporter of comprehensive immigration reform. Have been ever since I was in the Senate. I was one of the original sponsors of the DREAM Act. I voted for comprehensive immigration reform in 2007. Senator Sanders voted against it at that time. Because I think we have to get to comprehensive immigration reform with a path to citizenship. And as president I would expand enormous energy, literally call every member of Congress that I thought I could persuade. Hopefully after the 2016 election, some of the Republicans will come to their senses and realize we are not going to deport 11 or 12 million people in this country. And they will work with me to get comprehensive immigration",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
107,Clinton,"Two quick responses. One, with respect to the Central American children, I made it very clear that those children needed to be processed appropriately, but we also had to send a message to families and communities in Central America not to send their children on this dangerous journey in the hands of smugglers. I've also called for the end of family detention, for the end of privately-run detention centers, along with private prisons, which I think are really against the common good and the rule of law. And with respect to the 2007 bill, this was Ted Kennedy's bill. And I think Ted Kennedy had a very clear idea about what needed to be done. And I was proud to stand with him and support it.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
112,Clinton,"Well, that just wasn't -- that just wasn't the fact, Senator. The fact is that there was a great effort made by the Obama administration and others to really send a clear message, because we knew that so many of these children were being abused, being treated terribly while they tried to get to our border. So we have a disagreement on this. I think now what I've called for is counsel for every child so that no child has to face any kind of process without someone who speaks and advocates for that child so that the right decision hopefully can be made.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
119,Clinton,"I think -- I think it's fair to say we don't have a disagreement. We both believe there has to be more money going into the Social Security system. I've said I'm looking at a couple of different ways, one which you mentioned, Senator, but also trying to expand the existing tax to passive income that wealthy people have so that we do get more revenue into the Social Security Trust Fund. I have a slightly different approach, though, about what we should do with that initially. First, rather than expand benefits for everyone, I do want to take care of low-income seniors who worked at low-wage jobs. I want to take care of women. When the Social Security program was started in the 1930s, not very many women worked. And women have been disadvantaged ever since. They do not get any credit for their care-taking responsibilities. And the people who are often the most hard-hit are widows, because when their spouse dies, they can lose up to one-half of their Social Security monthly payment. So we have no disagreement about the need to buttress Social Security, get more revenue into the program. But I want to start by helping those people who are most at risk, the ones who, yes, are cutting their pills in half, who don't believe they can make the rent, who are worried about what comes next for them.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
123,Clinton,"Well, Senator, look, I think we're in vigorous agreement here. We both want to get more revenue in. I have yet to see a proposal that you're describing that the -- raising the cap would apply to passive income. That has not been...",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
125,Clinton,"Well, that has not been a part of most of the proposals that I've seen. I'm interested in making sure we get the maximum amount of revenue from those who can well afford to provide it. So I'm going to come up with the best way forward. We're going to end up in the same place. We're going to get more revenue. I'm going to prioritize those recipients who need the most help first.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
128,Clinton,"I can't speak for the Koch Brothers, you're referring to a Super PAC that we don't coordinate with, that was set up to support President Obama, that has now decided that they want to support me. They are the ones who should respond to any questions. Let's talk about our campaigns. I'm very proud of the fact that we have more than 750 thousand donors, and the vast majority of them are giving small contributions. So, I'm proud of Senator Sanders, and his supporters. I think it's great that Senator Sanders, President Obama and I have more donors than any three people who have every run, certainly on the Democratic side. That's the way it should be, and I'm going to continue to reach out to thank all my online contributors for everything they are doing for me, to encourage them and help me do more just as Senator Sanders is. I think that is the real key here. We both have a lot of small donors. I think that sets us apart from a lot of what's happening right now on the Republican side. The Koch Brothers have a very clear political agenda. It is an agenda, in my view, that would do great harm to our country. We're going to fight it as hard as we can, and we're going to fight whoever the Republicans nominate who will depend on the Koch Brothers, and others.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
134,Clinton,"We are mixing apples and oranges. My 750,000 donors have contributed more than a million and a half donations. I'm very proud. That, I think, between the two of us demonstrates the strength of the support we have among people who want to see change in our country. But, the real issue, I think, that the Senator is injecting into this is that if you had a Super PAC, like President Obama has, which now says it wants to support me. It's not my PAC. If you take donations from Wall Street, you can't be independent. I would just say, I debated then Senator Obama numerous times on stages like this, and he was the recipient of the largest number of Wall Street donations of anybody running on the Democratic side ever. Now, when it mattered, he stood up and took on Wall Street. He pushed through, and he passed the Dodd-Frank regulation, the toughest regulations since the 1930's. So, let's not in anyway imply here that either President Obama or myself, would in anyway not take on any vested interested, whether it's Wall Street, or drug companies, or insurance companies, or frankly, the gun lobby to stand up to do what's best for the American",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
144,Clinton,"Well, let's just -- let's just follow up on this, because, you know, I've made it very clear that no bank is too big to fail, no executive too powerful to jail, and because of Dodd-Frank, we now have in law a process that the president, the Federal Reserve, and others can use if any bank poses a systemic risk. I think that's a major accomplishment. I agree, however, it doesn't go far enough, because what it focuses on are the big banks, which Senator Sanders has talked about a lot, for good reason. I go further in the plan that I've proposed, which has been called the toughest, most effective, comprehensive plan for reining in the other risks that the financial system could face. It was an investment bank, Lehman Brothers, that contributed to our collapse. It was a big insurance company, AIG. It was Countrywide Mortgage. My plan would sweep all of them into a regulatory framework so we can try to get ahead of what the next problems might be. And I believe that not only Barney Frank, Paul Krugman, and others, have said that what I have proposed is the most effective. It goes in the right direction. We have Dodd-Frank. We can use it to break up the banks, if that's appropriate. But let's not kid ourselves. As we speak, there are new problems on the horizon. I want to get ahead of those, and that's why I've proposed a much more comprehensive approach to deal with all of",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
156,Clinton,"Absolutely. And, you know, there are a number of programs that I think are duplicative and redundant and not producing the results that people deserve. There are a lot of training programs and education programs that I think can be streamlined and put into a much better format so that if we do continue them they can be more useful, in public schools, community colleges, and colleges and universities. I would like to take a hard look at every part of the federal government and really do the kind of analysis that would rebuild some confidence in people that we're taking a hard look about what we have, you know, and what we don't need anymore. And that's what I intend to do.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
160,Clinton,"Look, I think we are readier than we used to be, but it's a constant effort that has to be undertaken to make sure we are as ready as we need to be. We have made a lot of improvements in our domestic security since 9/11, and we have been able to foil and prevent attacks, yet we see the terrible attack in San Bernardino and know that we haven't done enough. So we have to go after this both abroad and at home. We have to go after terrorist networks, predominantly ISIS -- that's not the only one, but let's focus on that for a minute. We have to lead a coalition that will take back territory from ISIS. That is principally an American-led air campaign that we are now engaged in. We have to support the fighters on the ground, principally the Arabs and the Kurds who are willing to stand up and take territory back from Raqqa to Ramadi. We have to continue to work with the Iraqi army so that they are better prepared to advance on some of the other strongholds inside Iraq, like Mosul, when they are able to do so. And we have to cut off the flow of foreign funding and foreign fighters. And we have to take on ISIS online. They are a sophisticated purveyor of propaganda, a celebrator of violence, an instigator of attacks using their online presence. Here at home, we've got to do a better job coordinating between federal, state, and local law enforcement. We need the best possible intelligence not only from our own sources, but from sources overseas, that can be a real-time fusion effort to get information where it's needed. But the final thing I want to say about this is the following. You know, after 9/11, one of the efforts that we did in New York was if you see something or hear something suspicious, report it. And we need to do that throughout the country. But we need to understand that American Muslims are on the front line of our defense. They are more likely to know what's happening in their families and their communities, and they need to feel not just invited, but welcomed within the American society. So when somebody like Donald Trump and",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
162,Clinton,"...stirs up the demagoguery against American Muslims, that hurts us at home. It's not only offensive; it's dangerous. And the same goes for overseas, where we have to put together a coalition of Muslim nations. I know how to do that. I put together the coalition that imposed the sanctions on Iran that got us to the negotiating table to put a lid on their nuclear weapons program.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
164,Clinton,"And you don't go tell Muslim nations you want them to be part of a coalition when you have a leading candidate for president of the United States who insults their religion. So this has to be looked at overall, and we have to go at it from every possible angle.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
168,Clinton,"If I could just respond. Two points. One, Senator Sanders voted in 1998 on what I think is fair to call a regime change resolution with respect to Iraq, calling for the end of Saddam Hussein's regime. He voted in favor of regime change with Libya, voted in favor of the Security Council being an active participate in setting the parameters for what we would do, which of course we followed through on. I do not believe a vote in 2002 is a plan to defeat ISIS in 2016. It's very important we focus on the threats we face today, and that we understand the complicated and dangerous world we are in. When people go to vote in primaries or caucuses, they are voting not only for the president, they are voting for the commander-in-chief. And it's important that people really look hard at what the threats and dangers we face are, and who is best prepared for dealing with them. As we all remember, Senator Obama, when he ran against me, was against the war in Iraq. And yet when he won, he turned to me, trusting my judgment, my experience, to become secretary of state. I was very honored to be asked to do that and very honored to serve with him those first four years.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
171,Clinton,"You did support a U.N. Security Council approach, which we did follow up on. And, look, I think it's important to look at what the most important counterterrorism judgment of the first four years of the Obama administration was, and that was the very difficult decision as to whether or not to advise the president to go after bin Laden. I looked at the evidence. I looked at the intelligence. I got the briefings. I recommended that the president go forward. It was a hard choice. Not all of his top national security advisors agreed with that. And at the end of the day, it was the president's decision. So he had to leave the Situation Room after hearing from the small group advising him and he had to make that decision. I'm proud that I gave him that advice. And I'm very grateful to the brave Navy SEALs who carried out that mission.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
180,Clinton,"Well, I know journalists have asked who you do listen to on foreign policy, and we have yet to know who that is.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
182,Clinton,That's fine. That's fine.,02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
184,Clinton,"You know, I listen to a wide variety of voices that have expertise in various areas. I think it is fair to say, whatever the complaints that you want to make about him are, that with respect to China, one of the most challenging relationships we have, his opening up China and his ongoing relationships with the leaders of China is an incredibly useful relationship for the United States of America.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
186,Clinton,"So if we want to pick and choose -- and I certainly do -- people I listen to, people I don't listen to, people I listen to for certain areas, then I think we have to be fair and look at the entire world, because it's a big, complicated world out there.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
188,Clinton,"And, yes, people we may disagree with on a number of things may have some insight, may have some relationships that are important for the president to understand in order to best protect the United States.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
194,Clinton,"Well, with respect to Syria, I really do appreciate the efforts that Secretary Kerry has made. The agreement on humanitarian relief now needs to be implemented, because there are enclaves that are literally filled with starving people throughout Syria. The agreement on a cease-fire, though, is something that has to be implemented more quickly than the schedule that the Russians agreed to. You know, the Russians wanted to buy time. Are they buying time to continue their bombardment on behalf of the Assad regime to further decimate what's left of the opposition, which would be a grave disservice to any kind of eventual cease-fire? So I know Secretary Kerry is working extremely hard to try to move that cease-fire up as quickly as possible. But I would add this. You know, the Security Council finally got around to adopting a resolution. At the core of that resolution is an agreement I negotiated in June of 2012 in Geneva, which set forth a cease-fire and moving toward a political resolution, trying to bring the parties at stake in Syria together. This is incredibly complicated, because we've got Iran as a big player, in addition to Russia. We have Saudi Arabia, Turkey, and others who have very important interests in their view. This is one of the areas I've disagreed with Senator Sanders on, who has called for Iranian troops trying to end civil war in Syria, which I think would be a grave mistake. Putting Iranian troops right on the border of the Golan right next to Israel would be a nonstarter for me. Trying to get Iran and Saudi Arabia to work together, as he has suggested in the past, is equally a nonstarter. So let's support what Secretary Kerry and the president are doing, but let's hope that we can accelerate the cease-fire, because I fear that the Russians will continue their bombing, try to do everything they can to destroy what's left of the opposition. And remember, the Russians have not gone after ISIS or any of the other terrorist groups. So as we get a cease-fire and maybe some humanitarian corridors, that still leaves the terrorist groups on the doorstep of others in Syria, Turkey, Lebanon, Jordan, and the like. So we've got some real work to do, and let's try to make sure we actually implement what has been agreed to with the Russians.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
198,Clinton,"Well, I respectfully disagree. I think we have achieved a great deal with the Iranian nuclear agreement to put a lid on the Iranian nuclear weapons program. That has to be enforced absolutely with consequences for Iran at the slightest deviation from their requirements under the agreement. I do not think we should promise or even look toward normalizing relations because we have a lot of other business to get done with Iran. Yes, they have to stop being the main state sponsor of terrorism. Yes, they have to stop trying to destabilize the Middle East, causing even more chaos. Yes, they've got to get out of Syria. They've got to quit sponsoring Hezbollah and Hamas. They have got to quit trying to ship rockets into Gaza that can be used against Israel. We have a lot of work to do with Iran before we ever say that they could move toward normalized relations with us.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
202,Clinton,"... Senator Sanders, from a debate in 2008, quote what I said. The question was, would you meet with an adversary without conditions? I said no. And in fact, in Obama administration, we did not meet with anybody without conditions. That is the appropriate approach in order to get the results that you are seeking.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
207,Clinton,"Well, I was pleased that NATO announced just this week that they're going to start doing patrols in the Mediterranean, in the Aegean, to try to interdict the smugglers, to try to prevent the kind of tragedies that we have seen all too often, also to try to prevent more refugees from coming to the European Union. And it's especially significant that they are working with both Turkey and Greece in order to do this. With respect to the United States, I think our role in NATO, our support for the E.U., as well as our willingness to take refugees so long as they are thoroughly vetted and that we have confidence from intelligence and other sources that they can come to our country, we should be doing our part. And we should back up the recent donors conference to make sure we have made our contribution to try to deal with the enormous cost that these refugees are posing to Turkey and to members of the E.U. in particular. This is a humanitarian catastrophe. There is no other description of it. So we do as the United States have to support our friends, our allies in Europe. We have to stand with them. We have to provide financial support to them. We have to provide the NATO support to back up the mission that is going on. And we have to take properly vetted refugees ourselves.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
213,Clinton,"I certainly agree with FDR for all the reasons Senator Sanders said. And I agree about the role that he played both in war and in peace on the economy and defeating fascism around the world. I would choose Nelson Mandela for his generosity of heart, his understanding of the need for reconciliation. But I want to -- I want to follow up on something having to do with leadership, because, you know, today Senator Sanders said that President Obama failed the presidential leadership test. And this is not the first time that he has criticized President Obama. In the past he has called him weak. He has called him a disappointment. He wrote a forward for a book that basically argued voters should have buyers' remorse when it comes to President Obama's leadership and legacy. And I just couldn't agree -- disagree more with those kinds of comments. You know, from my perspective, maybe because I understand what President Obama inherited, not only the worst financial crisis but the antipathy of the Republicans in Congress, I don't think he gets the credit he deserves for being a",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
215,Clinton,...who got us out of,02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
217,Clinton,"...put us on firm ground, and has sent us into the future. And it is a -- the kind of criticism that we've heard from Senator Sanders about our president I expect from Republicans. I do not expect from someone running for the Democratic nomination to succeed President Obama.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
226,Clinton,"You know, Senator, what I am concerned about, is not disagreement on issues, saying that this is what I would rather do, I don't agree with the president on that, calling the president weak, calling him a disappointment, calling several times that he should have a primary opponent when he ran for re-election in 2012, you know, I think that goes further than saying we have our disagreements. As a senator, yes, I was a senator. I understand we can disagree on the path forward. But those kinds of personal assessments and charges are ones that I find particularly troubling.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
233,Clinton,"You know, we -- we agree that we've got to get unaccountable money out of politics. We agree that Wall Street should never be allowed to wreck Main Street again. But here's the point I want to make tonight. I am not a single-issue candidate, and I do not believe we live in a single-issue country. I think that a lot of what we have to overcome to break down the barriers that are holding people back, whether it's poison in the water of the children of Flint, or whether it's the poor miners who are being left out and left behind in coal country, or whether it is any other American today who feels somehow put down and oppressed by racism, by sexism, by discrimination against the LGBT community, against the kind of efforts that need to be made to root out all of these barriers, that's what I want to take on. And here in Wisconsin, I want to reiterate: We've got to stand up for unions and working people who have done it",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
